AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR
14,IG52,HTS119,1/1,A,PC,CAT16,0.9846330578662411,0.07983029404249391
17,IG52,HTS119,1/1,A,PC,CAT16,-0.055385873502647086,-0.06546858528615496
17,IG52,HTS119,1/1,A,PC,CAT16,0.1327080193355239,-0.026042674317692558
17,IG52,HTS119,1/1,A,PC,CAT16,0.005911255735053786,-0.15985647155638946
18,IG52,HTS119,1/1,B,PC,CAT16,0.11106574663187739,0.059115541598080995
19,IG52,HTS119,1/1,B,PC,CAT16,1.5205722083533746,0.059115541598080995
19,IG52,HTS119,1/1,B,PC,CAT16,0.05787682235187076,0.059115541598080995
19,IG52,HTS119,1/1,A,PC,CAT16,-0.20808225364553015,-0.09142771744561742
19,IG52,HTS119,1/1,A,PC,CAT16,0.13766664360360362,0.059115541598080995
19,IG52,HTS119,1/1,A,PC,CAT16,0.24405091642911367,-0.017929761230319426
16,IG52,HTS119,1/1,A,PC,CAT16,0.0794511330889459,0.059115541598080995
17,IG52,HTS119,1/1,A,PC,CAT16,0.1276199165322505,0.059115541598080995
17,IG52,HTS119,1/1,A,PC,CAT16,0.2222833071509227,0.059115541598080995
20,IG52,HTS119,1/0,B,PC,CAT16,0.08369000716440898,-0.046834066966709526
15,IG52,HTS119,1/0,C,PC,CAT16,0.13195314700719782,-0.042553164109539625
15,IG52,HTS119,1/0,C,PC,CAT16,0.08161775889264572,0.1686015481753162
15,IG52,HTS119,1/0,B,PC,CAT16,0.08751631237377343,-0.04672458096013229
18,IG52,HTS119,1/0,B,PC,CAT16,1.5432798736393272,0.26521200037906856
18,IG52,HTS119,1/0,B,PC,CAT16,-1.5732864099248942,-0.15985647155638946
18,IG52,HTS119,1/0,B,PC,CAT16,0.12385364861984793,0.059115541598080995
12,IG52,HTS119,1/1,B,PR,CAT16,-0.0018815051072762932,-0.10223398629479054
12,IG53,HTS119,1/0,C,BX,CAT16,0.7728264825760096,0.11385854488669861
12,IG53,HTS119,1/1,B,PR,CAT16,0.08625702954168722,0.059115541598080995
12,IG53,HTS119,1/1,B,PR,CAT16,-0.02149328726488873,-0.15985647155638946
15,IG53,HTS119,1/1,C,PR,CAT16,0.05046668569074144,-0.016681620755338945
14,IG52,HTS119,1/1,C,PR,CAT16,0.035681259782312465,-0.04962596013442902
13,IG52,HTS119,1/1,B,PR,CAT16,0.06874870828787351,0.059115541598080995
15,IG52,HTS119,1/1,B,PR,CAT16,0.06874870828787351,-0.03472491463926731
14,IG52,HTS119,1/1,C,PR,CAT16,0.011693306006695164,-0.08321626695232479
13,IG52,HTS119,1/1,C,PR,CAT16,0.13935364727008195,-0.021170547025005586
12,IG52,HTS119,1/1,B,PC,CAT16,0.03542321140737364,-0.046439917343031475
14,IG53,HTS119,1/0,C,BX,CAT16,0.21567347759054747,-0.01909031290003812
13,IG53,HTS119,1/1,B,PC,CAT16,-0.32555053996315103,-0.15985647155638946
13,IG53,HTS119,1/1,B,PC,CAT16,0.34073915522905796,0.059115541598080995
14,IG53,HTS119,1/1,B,PC,CAT16,0.8074443345764329,0.059115541598080995
14,IG53,HTS119,1/1,B,PC,CAT16,-0.7448795930202456,-0.15985647155638946
14,IG53,HTS119,1/1,B,PC,CAT16,-0.0009737183541645671,-0.15985647155638946
15,IG53,HTS119,1/1,C,PC,CAT16,0.23755957652874027,0.059115541598080995
12,IG52,HTS119,1/0,C,BX,CAT16,0.22498737348131517,-0.038688308077363225
