,AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR
183,2,IG45,HTS24,1/1,A,PC,CAT17,0.01805402621945111,-0.14381364271215438
184,16,IG45,HTS24,1/1,A,PC,CAT17,-0.08777281477949792,-0.06168203252502876
185,18,IG45,HTS24,1/1,A,PC,CAT17,-0.04808775997111818,-0.047183065606661516
186,19,IG45,HTS24,1/1,A,PC,CAT17,0.024668187932546205,-0.03539991726514856
187,19,IG45,HTS24,1/1,B,PC,CAT17,0.011439843373903722,-0.04744588675926032
188,18,IG45,HTS24,1/1,B,PC,CAT17,-0.14068623527897245,-0.06427739140694193
189,18,IG45,HTS24,1/1,B,PC,CAT17,-0.008402684030286149,-0.037732454994462934
190,2,IG45,HTS24,1/1,B,PC,CAT17,0.004825660528356335,-0.14381364271215438
191,19,IG45,HTS24,1/1,B,PC,CAT17,-0.015016866875833536,-0.03918892221511462
192,19,IG45,HTS24,1/1,B,PC,CAT17,0.07096742558647333,-0.031085270009984893
193,99,IG45,HTS24,1/1,B,PC,CAT17,0.01805402621945111,-0.14381364271215438
194,17,IG45,HTS24,1/1,B,PC,CAT17,-0.04808775997111818,-0.13539241494763443
195,18,IG45,HTS24,1/1,B,PC,CAT17,-0.12745789072032995,-0.07080411669647886
196,18,IG45,HTS24,1/1,B,PC,CAT17,-0.0017885223171910554,-0.03782006204532919
197,18,IG45,HTS24,1/1,A,PC,CAT17,-0.1010011804705927,-0.04420442587720843
198,18,IG45,HTS24,1/1,A,PC,CAT17,1.5657715018654979,1.024284019131863
199,22,IG45,HTS24,1/1,A,PC,CAT17,0.24293605277599167,-0.019203563736247386
200,18,IG45,HTS24,1/1,B,PC,CAT17,-0.2156469107978193,-0.11499092297715244
201,19,IG45,HTS24,1/1,B,PC,CAT17,0.013644570989086184,-0.036067921028003845
202,18,IG45,HTS24,1/1,A,PC,CAT17,0.004825660528356335,-0.0890592359207373
203,19,IG45,HTS24,1/1,A,PC,CAT17,-0.021631049721380923,-0.04087535794429027
204,18,IG45,HTS24,1/1,A,PC,CAT17,0.5868732648901238,0.014974136982955162
205,19,IG45,HTS24,1/1,A,PC,CAT17,-0.021631049721380923,-0.03944079248635514
206,13,IG45,HTS24,1/1,A,BG,CAT17,-0.1387745725121768,-0.14381364271215438
207,13,IG45,HTS24,1/1,A,BG,CAT17,-0.015810327062045004,-0.14381364271215438
208,13,IG45,HTS24,1/1,A,BG,CAT17,-0.35854049576615693,-0.13142819589593585
209,13,IG45,HTS24,1/1,A,BG,CAT17,0.0025034998757866734,-0.14381364271215438
210,13,IG45,HTS24,1/1,A,BG,CAT17,-0.36115675675727577,-0.14381364271215438
211,13,IG45,HTS24,1/1,A,BG,CAT17,-0.03674041499099549,-0.12921611786156262
212,13,IG45,HTS24,1/1,A,BG,CAT17,0.01820106582249954,-0.037732454994462934
213,14,IG45,HTS24,1/1,A,BG,CAT17,0.6094760075504463,4.80598473123195
214,14,IG45,HTS24,1/1,A,BG,CAT17,-0.04720545895547073,-0.05363313472669045
215,14,IG45,HTS24,1/1,A,BG,CAT17,-0.5442950050031402,-0.14381364271215438
216,14,IG45,HTS24,1/1,A,BG,CAT17,0.13593281042284602,-0.009971970751214464
217,14,IG45,HTS24,1/1,A,BG,CAT17,-0.14923961647665207,-0.14381364271215438
218,14,IG45,HTS24,1/1,A,BG,CAT17,0.057444980689281694,-0.02786571089064957
219,15,IG45,HTS24,1/1,A,BG,CAT17,-0.20418109729014708,-0.14381364271215438
220,99,IG45,HTS24,1/1,A,BG,CAT17,-0.26435510008587976,-0.14381364271215438
221,13,IG45,HTS24,1/1,B,BG,CAT17,-0.06028676391106478,-0.05264755540444494
222,13,IG45,HTS24,1/1,B,BG,CAT17,0.05221245870704408,0.40373042520201646
223,12,IG45,HTS24,1/1,A,BG,CAT17,0.028666109786974783,-0.14381364271215438
224,15,IG45,HTS24,1/1,A,BG,CAT17,0.028666109786974783,-0.03503853818032521
225,16,IG45,HTS24,1/1,A,BG,CAT17,0.10715393952053912,-0.011943129395705477
226,16,IG45,HTS24,1/1,A,BG,CAT17,-0.015810327062045004,-0.13286276135387098
227,14,IG45,HTS24,1/1,A,BG,CAT17,-0.04197293697323311,-0.047752511437292255
228,14,IG45,HTS24,1/1,A,BG,CAT17,0.0783750686182322,-0.0233539477710368
229,15,IG45,HTS24,1/1,A,BG,CAT17,0.060061241680400515,0.1664576788120897
230,15,IG45,HTS24,1/1,B,BG,CAT17,0.05221245870704408,0.11170327202067262
231,15,IG45,HTS24,1/1,B,BG,CAT17,0.03913115375145003,-0.03255268811199487
232,17,IG45,HTS24,1/1,B,BG,CAT17,-0.0629030249021836,-0.047183065606661516
233,13,IG45,HTS24,1/1,A,BG,CAT17,0.057444980689281694,0.08737041364256683
234,14,IG45,HTS24,1/1,A,BG,CAT17,0.005119760866905485,-0.04074394736799087
235,17,IG45,HTS24,1/1,A,BG,CAT17,0.005119760866905485,-0.04001023831698588
236,13,IG45,HTS24,1/1,C,PC,CAT17,0.03686776244870469,-0.0300887398063811
237,15,IG45,HTS24,1/1,C,PC,CAT17,-0.03853508850190204,-0.04199234784283518
238,14,IG45,HTS24,1/1,C,PC,CAT17,0.06479476306666479,-0.0006089671898821413
239,14,IG45,HTS24,1/0,C,PC,CAT17,0.015867303453621518,-0.04444534526709066
240,15,IG45,HTS24,1/1,C,PC,CAT17,0.011733478798502445,-0.041028670283306236
241,14,IG45,HTS24,1/1,C,PC,CAT17,0.017318870469113547,-0.037644847943596654
242,13,IG45,HTS24,1/1,C,PC,CAT17,0.11227063453176374,-0.005164533834928043
243,15,IG45,HTS24,1/1,A,PR,CAT17,1.1967902205399985,9.657225172951504
244,15,IG45,HTS24,1/1,B,PR,CAT17,0.19919451808788194,0.0058739545742216405
245,15,IG45,HTS24,1/1,B,PR,CAT17,-0.04115031400285855,-0.14381364271215438
246,16,IG45,HTS24,1/1,B,PR,CAT17,-0.13333738272949022,-0.14381364271215438
247,13,IG45,HTS24,1/1,B,PR,CAT17,-0.05431991034412899,-0.05188099370936511
248,15,IG45,HTS24,1/1,B,PR,CAT17,-0.17943091709280606,-0.14381364271215438
249,15,IG45,HTS24,1/1,B,PR,CAT17,0.205779305692291,0.1806609719337833
250,17,IG45,HTS24,1/1,B,PR,CAT17,0.10700744936125027,-0.018951693465006865
251,13,IG45,HTS24,1/1,C,PR,CAT17,-0.04338397194522889,-0.047905823776308226
252,13,IG45,HTS24,1/1,C,PR,CAT17,0.07608217641208709,-0.005733979665558781
253,13,IG45,HTS24,1/1,C,PR,CAT17,-0.08445045515994319,-0.060422681168826174
254,13,IG45,HTS24,1/1,C,PR,CAT17,0.14701519671613036,0.048494784820660705
255,14,IG45,HTS24,1/1,C,PR,CAT17,0.038749015616651984,-0.03299072336632621
256,14,IG45,HTS24,1/1,C,PR,CAT17,0.027549048358814394,-0.14381364271215438
257,16,IG45,HTS24,1/1,C,PR,CAT17,0.0238157259395352,-0.14381364271215438
258,13,IG45,HTS119,1/1,C,PC,CAT17,-0.021533819308384976,-0.04766490438642598
259,12,IG45,HTS24,1/1,B,PR,CAT17,0.02600566083811319,-0.034830471434517826
260,12,IG45,HTS24,1/1,B,PR,CAT17,0.04711252173048709,-0.03231176872211264
261,12,IG45,HTS24,1/1,C,PR,CAT17,0.11570983548004149,-0.023879590076234403
262,12,IG45,HTS24,1/1,C,PR,CAT17,-0.0373149429714608,-0.046372700386148547
263,12,IG45,HTS24,1/1,C,PR,CAT17,0.004898778813287001,-0.037743405875821215
264,12,IG45,HTS24,1/1,C,PR,CAT17,-0.06118284328560669,-0.14381364271215438
265,13,IG45,HTS24,1/1,C,PR,CAT17,-0.0063886345321353035,-0.04954845598005074
266,12,IG45,HTS24,1/1,B,PR,CAT17,-0.013237915909432295,-0.04606607570811661
267,13,IG45,HTS24,1/1,C,PR,CAT17,0.07922729815426797,0.022475490713379304
268,14,IG45,HTS24,1/1,C,PR,CAT17,0.007309907090006399,-0.14381364271215438
